Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L
"AltcoinSherpa","https://x.com/AltcoinSherpa/status/1903105950472396993","2025-03-21T15:26:31.000Z","2025-03-21T15:26:31.000Z","Hold","LAYER","unilayer","0.022286516718528472","0.022286516718528472","0.022286","0.022286","0.0223","",""
"AltcoinSherpa","https://x.com/AltcoinSherpa/status/1903104403571150865","2025-03-21T15:20:22.000Z","2025-03-21T15:20:22.000Z","Buy","IP","story-2","5.506263970638539","5.506263970638539","5.75","6.02","5.25","",""
"AltcoinSherpa","https://x.com/AltcoinSherpa/status/1903104403571150865","2025-03-21T15:20:22.000Z","2025-03-21T15:20:22.000Z","Hold","BERA","berachain-bera","6.065033480069972","6.065033480069972","6.3","6.5","5.85","",""
"holdersignals","https://x.com/holdersignals/status/1903006260859154862","2025-03-21T08:50:23.000Z","2025-03-21T08:50:23.000Z","Buy","MLN","melon","9.376329145361652","9.376329145361652","10","10.5","8.5","",""
"holdersignals","https://x.com/holdersignals/status/1903002656811126826","2025-03-21T08:36:04.000Z","2025-03-21T08:36:04.000Z","Buy","MLN","melon","9.376329145361652","9.376329145361652","11","15","8.5","",""
"holdersignals","https://x.com/holdersignals/status/1902999366824235056","2025-03-21T08:22:59.000Z","2025-03-21T08:22:59.000Z","Buy","FARM","farm","0.00005463197335464619","0.00005463197335464619","0.0001","0.00015","0.00004","",""
"holdersignals","https://x.com/holdersignals/status/1902999366824235056","2025-03-21T08:22:59.000Z","2025-03-21T08:22:59.000Z","Buy","MLN","melon","9.376329145361652","9.376329145361652","9.75","10.5","8.95","",""
"holdersignals","https://x.com/holdersignals/status/1902964179235127646","2025-03-21T06:03:10.000Z","2025-03-21T06:03:10.000Z","Buy","DATA","data-bot","0.0009666273218080393","0.0009666273218080393","0.001063","0.00116","0.000918","",""
"holdersignals","https://x.com/holdersignals/status/1902738629572882571","2025-03-20T15:06:55.000Z","2025-03-20T15:06:55.000Z","Buy","AUCTION","auction","40.199930053057614","45.642670478442746","50","60","39.5","",""
"holdersignals","https://x.com/holdersignals/status/1902685342341202212","2025-03-20T11:35:10.000Z","2025-03-20T11:35:10.000Z","Buy","DSYNC","destra-network","0.14752594242957276","0.14752594242957276","0.18","0.2","0.13","",""
"holdersignals","https://x.com/holdersignals/status/1902677607113756717","2025-03-20T11:04:26.000Z","2025-03-20T11:04:26.000Z","Buy","JUV","juventus-fan-token","1.1205051499894194","1.1205051499894194","1.46","1.86","0.912","",""
"cryptostasher","https://x.com/cryptostasher/status/1902669052092276789","2025-03-20T10:30:26.000Z","2025-03-20T10:30:26.000Z","Hold","ETH","ethereum","2060.728601068271","2060.728601068271","2200","2350","1800","",""
"holdersignals","https://x.com/holdersignals/status/1902633410017018120","2025-03-20T08:08:48.000Z","2025-03-20T08:08:48.000Z","Buy","SLF","self-chain","0.26794081030399614","0.26794081030399614","0.295","0.35","0.235","",""
"holdersignals","https://x.com/holdersignals/status/1902633410017018120","2025-03-20T08:08:48.000Z","2025-03-20T08:08:48.000Z","Buy","MDT","measurable-data-token","0.029144944288290824","0.029144944288290824","0.035","0.045","0.024","",""
"holdersignals","https://x.com/holdersignals/status/1902631279935508594","2025-03-20T08:00:20.000Z","2025-03-20T08:00:20.000Z","Buy","TUT","tutorial","0.04814278989775493","0.04814278989775493","0.05","0.06","0.04","",""
"holdersignals","https://x.com/holdersignals/status/1902618561928925658","2025-03-20T07:09:48.000Z","2025-03-20T07:09:48.000Z","Buy","SLF","self-chain","0.26794081030399614","0.26794081030399614","0.3","0.32","0.25","",""
"holdersignals","https://x.com/holdersignals/status/1902618561928925658","2025-03-20T07:09:48.000Z","2025-03-20T07:09:48.000Z","Buy","MDT","measurable-data-token","0.029144944288290824","0.029144944288290824","0.032","0.035","0.0277","",""
"holdersignals","https://x.com/holdersignals/status/1902616219217489936","2025-03-20T07:00:30.000Z","2025-03-20T07:00:30.000Z","Buy","MDT","measurable-data-token","0.029144944288290824","0.029144944288290824","0.035","0.04","0.027","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1902346240391549128","2025-03-19T13:07:42.000Z","2025-03-19T13:07:42.000Z","Buy","AST","airswap","0.04672361647727621","0.047336075924531165","0.0497","0.05207","0.04581","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1902346240391549128","2025-03-19T13:07:42.000Z","2025-03-19T13:07:42.000Z","Buy","VIDT","vidt-dao","0.012350076184883211","0.0123857167556905","0.0136","0.0152","0.0118","",""
"cryptostasher","https://x.com/cryptostasher/status/1902284542167158968","2025-03-19T09:02:32.000Z","2025-03-19T09:02:32.000Z","Buy","ZIG","zignaly","0.08332613939091653","0.08552368251131263","0.094","0.0983","0.08","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898589002195927043","2025-03-09T04:17:46.000Z","2025-03-09T04:17:46.000Z","Buy","AST","astra-2","0.0004426217471499729","0.0004218320812092959","0.00046","0.0005","0.00035","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898588132398027046","2025-03-09T04:14:19.000Z","2025-03-09T04:14:19.000Z","Buy","AST","astra-2","0.0004426217471499729","0.0004218320812092959","0.000464","0.000506","0.00038","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898523560450412776","2025-03-08T23:57:44.000Z","2025-03-08T23:57:44.000Z","Buy","AST","astra-2","0.0004404115312319305","0.0004218320812092959","0.00045","0.0005","0.0004","",""
"cryptostasher","https://x.com/cryptostasher/status/1898476135840715138","2025-03-08T20:49:17.000Z","2025-03-08T20:49:17.000Z","Hold","BTC","bitcoin","86773.33597555371","86815.44109470697","90000","95000","82000","",""
"holdersignals","https://x.com/holdersignals/status/1898468240210182145","2025-03-08T20:17:54.000Z","2025-03-08T20:17:54.000Z","Hold","ERN","ethernity-chain","1.8877640643898712","1.4327517414269528","1.5","1.65","1.35","",""
"holdersignals","https://x.com/holdersignals/status/1898468240210182145","2025-03-08T20:17:54.000Z","2025-03-08T20:17:54.000Z","Buy","DEGO","dego-finance","1.9664869907448115","1.9136986051735827","2.12","2.44","1.92","",""
"holdersignals","https://x.com/holdersignals/status/1898468240210182145","2025-03-08T20:17:54.000Z","2025-03-08T20:17:54.000Z","Buy","SLF","self-chain","0.22010714272184848","0.26794081030399614","0.3","0.32","0.24","",""
"holdersignals","https://x.com/holdersignals/status/1898466567286874176","2025-03-08T20:11:16.000Z","2025-03-08T20:11:16.000Z","Buy","SLF","self-chain","0.22010714272184848","0.26794081030399614","0.3","0.35","0.24","",""
"cryptostasher","https://x.com/cryptostasher/status/1898429528072126789","2025-03-08T17:44:05.000Z","2025-03-08T17:44:05.000Z","Buy","ZIG","zignaly","0.09352475191000759","0.08552368251131263","0.0935","0.11","0.08","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898420861599965546","2025-03-08T17:09:39.000Z","2025-03-08T17:09:39.000Z","Buy","PROS","prosper","0.5877242747237433","0.474754002907855","0.5","0.55","0.45","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898420861599965546","2025-03-08T17:09:39.000Z","2025-03-08T17:09:39.000Z","Buy","AST","airswap","0.04977073022184182","0.047336075924531165","0.05","0.055","0.043","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898342321181319520","2025-03-08T11:57:33.000Z","2025-03-08T11:57:33.000Z","Hold","PROS","prosper","0.5877242747237433","0.474754002907855","0.5","0.55","0.45","",""
"Cryptobullmaker","https://x.com/Cryptobullmaker/status/1898342321181319520","2025-03-08T11:57:33.000Z","2025-03-08T11:57:33.000Z","Buy","AST","airswap","0.04977073022184182","0.047336075924531165","0.04977","0.05207","0.044","",""
"holdersignals","https://x.com/holdersignals/status/1898191346768241000","2025-03-08T01:57:38.000Z","2025-03-08T01:57:38.000Z","Hold","CHEEMS","cheems","0.0001512755897640147","0.00014877861520438984","0.000151","0.000155","0.00014","",""
"cryptostasher","https://x.com/cryptostasher/status/1898189510145413521","2025-03-08T01:50:20.000Z","2025-03-08T01:50:20.000Z","Buy","BTC","bitcoin","86773.33597555371","86815.44109470697","88000","90000","82000","",""
"cryptostasher","https://x.com/cryptostasher/status/1898008977801125996","2025-03-07T13:52:58.000Z","2025-03-07T13:52:58.000Z","Buy","ZIG","zignaly","0.08839765311728418","0.08552368251131263","0.0898","0.1","0.079","",""
"holdersignals","https://x.com/holdersignals/status/1897733278452666835","2025-03-06T19:37:26.000Z","2025-03-06T19:37:26.000Z","Buy","CHEEMS","cheems-token","8.368644578060407e-7","0.0000013768920239760848","0.00000168","0.00000185","0.00000121","",""
